Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,51st Annual,36,63,57.14285714285714
Division,52nd Annual,43,67,64.17910447761194
Division,5A,283,386,73.31606217616581
Division,5th & 6th Grade,96,107,89.7196261682243
Division,5th grade-6th grade,5,9,55.55555555555556
Division,6 & Under,177,200,88.5
Division,6 & Under Boys,3,4,75
Division,6 - 8,21,23,91.30434782608695
Division,6 and Under,72,88,81.81818181818183
Division,6 U Girls,4,8,50
Division,6-U,192,214,89.7196261682243
Division,6-Under,747,910,82.08791208791209
Division,6-under Girls,126,178,70.78651685393258
Division,6-Under Lower State,17,20,85
Division,6-under Novice,34,38,89.47368421052632
Division,6-Under Open,677,829,81.66465621230398
Division,6-Under Rookie,1578,1894,83.31573389651531
Division,6-under Rookie/Novice,397,520,76.34615384615384
Division,6-under Upper State,12,12,100
Division,6th,14,16,87.5
Division,6TH - 8TH,119,172,69.18604651162791
Division,6th - 8th Grade,59,61,96.72131147540983
Division,6th-8th,13,18,72.22222222222221
Division,6th-8th grade,7,8,87.5
Division,6th-8th grade boys,10,10,100
Division,6th-8th grade girls,4,8,50
Division,6U,7039,8508,82.73389750822756
Division,6U 1st Year,104,134,77.61194029850746
Division,6U B,56,81,69.1358024691358
Division,6U First Year,26,29,89.65517241379311
Division,6U Folkstyle,2,5,40
Division,6U freestyle,5,8,62.5
Division,6U Girls,14,16,87.5
Division,6U Men,2,3,66.66666666666666
Division,6u Open,5,10,50
Division,6U ROOKIE,32,37,86.48648648648648
Division,6u rookie/novice,45,59,76.27118644067797
Division,6U TBs,1,2,50
Division,6U+8U,41,41,100
Division,6U-8U,93,113,82.30088495575221
Division,6UB,1,2,50
Division,7 & 8,63,69,91.30434782608695
Division,7 and Under,22,31,70.96774193548387
Division,7th & 8th Grade,112,126,88.88888888888889
Division,"7th - 12th Women's Division ",2,4,50
Division,7th - 8th,7,14,50
Division,7th grade-8th grade,2,2,100
Division,8 & Under,242,289,83.73702422145328
Division,8 & Under Boys,16,20,80
Division,8 and Under,76,110,69.0909090909091
Division,8-9 yoa,1,2,50
Division,8-U,252,278,90.64748201438849
Division,8-Under,1638,2023,80.96885813148789
Division,8-under Girls,292,354,82.48587570621469
Division,8-under Lower State,28,34,82.35294117647058
Division,8-under Novice,43,45,95.55555555555556
Division,8-under Open,910,1162,78.3132530120482
Division,8-Under Rookie,1824,2238,81.50134048257372
Division,8-under Rookie/Novice,631,825,76.48484848484848
Division,8-under Upper State,37,44,84.0909090909091
Division,8U,16250,19071,85.20790729379686
